ncores,fps,freq,p_cur,p_min,p_max
1,5.7607,1800000,8.5,6.9,8.8
1,5.45461,1704000,8.2,6.8,8.5
1,5.06355,1608000,8.1,6.8,8.4
1,4.80764,1512000,8.0,6.8,8.3
1,4.48822,1398000,7.8,6.8,8.2
1,3.85291,1200000,7.7,6.8,8.1
1,3.21338,1000000,7.6,6.8,7.9
1,2.23049,667000,7.4,6.7,7.8
1,2.22539,500000,7.5,6.7,7.8
1,2.22799,250000,7.4,6.7,7.7
1,2.23118,100000,7.4,6.7,7.7
2,10.087,1800000,9.4,6.9,9.8
2,9.67641,1704000,9.0,6.8,9.3
2,9.29109,1608000,8.7,6.7,9.1
2,8.8952,1512000,8.5,6.8,8.9
2,8.27099,1398000,8.3,6.8,8.7
2,7.20339,1200000,8.1,6.7,8.5
2,6.08621,1000000,8.2,6.7,8.3
2,3.82057,667000,7.9,6.7,8.0
2,3.85281,500000,7.6,6.8,8.0
2,3.87605,250000,7.7,6.7,8.0
2,3.85938,100000,7.6,6.7,8.0
3,12.5831,1800000,9.9,6.8,10.2
3,12.0665,1704000,9.2,6.8,9.6
3,11.4987,1608000,9.0,6.8,9.3
3,11.0262,1512000,8.8,6.8,9.1
3,10.3474,1398000,8.6,6.8,8.9
3,9.02687,1200000,8.3,6.8,8.7
3,7.52114,1000000,8.1,6.8,8.5
3,4.96719,667000,8.0,6.8,8.1
3,4.97753,500000,7.7,6.8,8.1
3,4.98453,250000,7.7,6.8,8.1
3,4.94886,100000,7.7,6.8,8.1
4,13.6744,1800000,10.1,6.9,10.4
4,13.037,1704000,9.4,6.9,9.7
4,12.3337,1608000,9.1,6.9,9.5
4,12.0658,1512000,8.9,6.8,9.2
4,11.1371,1398000,8.7,6.9,9.0
4,9.6514,1200000,8.4,6.8,8.7
4,8.12317,1000000,8.2,6.8,8.6
4,5.48594,667000,7.8,6.8,8.2
4,5.47554,500000,7.8,6.8,8.2
4,5.52678,250000,7.8,6.8,8.1
4,5.45437,100000,7.8,6.8,8.2
