fcount,fps,fps_avg
5,2.84001,2.84001
10,14.1374,4.72974
15,13.9641,6.06705
20,14.0015,7.06837
25,13.6255,7.82106
30,13.8016,8.4298
35,13.8143,8.9268
40,14.0427,9.35264
45,14.2867,9.72579
50,14.1847,10.0414
55,13.7201,10.2922
60,14.0355,10.5261
65,14.224,10.7408
70,14.0224,10.9234
75,14.249,11.096
80,13.9338,11.239
85,13.9666,11.3695
90,13.8599,11.4841
95,13.8809,11.5894
100,13.5245,11.6729
105,13.8313,11.7602
110,13.8744,11.8422
115,14.0758,11.9244
120,14.012,11.9989
125,14.1664,12.0727
130,14.1919,12.1424
135,13.843,12.1979
140,13.7946,12.2485
145,13.8232,12.2968
150,13.7548,12.3403
155,14.0145,12.388
160,13.9734,12.4321
165,13.8253,12.4701
170,13.8994,12.5079
175,14.1336,12.5492
180,13.8099,12.581
185,13.9585,12.6146
190,13.869,12.6447
195,13.7014,12.6697
200,13.7354,12.6943
205,14.1402,12.7261
210,13.5664,12.7448
215,14.2438,12.7761
220,14.0124,12.8017
225,13.9476,12.8251
230,14.003,12.8486
235,13.9142,12.8695
240,13.9338,12.89
245,14.1138,12.9128
250,13.9794,12.9326
255,14.0231,12.9523
260,14.1504,12.9734
265,13.5265,12.9834
270,13.8493,12.9984
275,14.0758,13.0165
280,13.6475,13.0273
285,13.934,13.0421
290,13.8111,13.0546
295,14.0069,13.0697
300,14.0259,13.0845
305,13.6808,13.0939
310,13.9617,13.107
315,14.1306,13.1221
320,13.9055,13.1336
325,14.0396,13.1466
330,13.7344,13.1552
335,13.7675,13.1639
340,14.1791,13.1777
345,14.0039,13.189
350,13.9458,13.1992
355,13.9487,13.2092
360,14.0687,13.2204
365,13.9985,13.2305
370,14.1299,13.2418
375,13.9174,13.2504
380,14.0099,13.2598
385,13.9722,13.2686
390,14.028,13.2778
395,14.0644,13.2872
400,14.1245,13.297
405,14.0158,13.3055
410,13.946,13.3129
415,13.9808,13.3206
420,14.0255,13.3285
425,14.0923,13.337
430,13.6527,13.3406
435,13.6751,13.3443
440,14.2059,13.3535
445,14.1731,13.3622
450,13.8319,13.3672
455,14.1663,13.3755
460,13.9642,13.3816
465,13.9279,13.3872
470,13.888,13.3924
475,14.0522,13.399
480,14.227,13.4071
485,14.268,13.4154
490,13.8881,13.4201
495,14.0664,13.4263
500,13.986,13.4317
505,4.63248,13.1837
510,5.1404,12.9845
515,5.29818,12.8041
520,5.15733,12.6242
525,5.0445,12.446
530,5.18794,12.2839
535,5.1461,12.1267
540,5.00047,11.9687
545,5.03831,11.8196
550,5.17887,11.6834
555,5.04238,11.5464
560,5.21949,11.4227
565,5.22293,11.304
570,5.2574,11.1911
575,5.09909,11.076
580,5.1757,10.9682
585,5.04386,10.8592
590,5.24743,10.7616
595,5.10338,10.6623
600,5.20512,10.5699
605,5.17667,10.4797
610,5.20638,10.3934
615,5.20991,10.31
620,5.11485,10.2262
625,5.10126,10.1447
630,5.16373,10.0676
635,5.15989,9.99274
640,5.08505,9.91795
645,5.12946,9.84668
650,5.06195,9.7756
655,5.15681,9.70921
660,5.10967,9.64344
665,5.08482,9.57887
670,5.02895,9.51462
675,5.00884,9.45163
680,5.21983,9.39562
685,4.98974,9.33544
690,5.18336,9.28156
695,5.12624,9.22774
700,4.99972,9.17234
705,5.21634,9.12326
710,5.10403,9.07294
715,5.0594,9.02288
720,5.28112,8.9787
725,5.08661,8.93156
730,5.18992,8.88767
735,5.1337,8.84368
740,5.15991,8.80122
745,5.05191,8.75759
750,5.03072,8.71455
755,5.04444,8.67276
760,5.14567,8.63382
765,5.01586,8.5933
770,5.11088,8.55544
775,5.1979,8.51993
780,5.23379,8.48578
785,5.09112,8.44989
790,5.25192,8.41744
795,5.02544,8.38186
800,5.24198,8.35059
805,5.07513,8.31725
810,5.15217,8.28582
815,5.10918,8.25433
820,5.41897,8.22808
825,5.24953,8.19988
830,5.20909,8.17161
835,5.13505,8.14277
840,5.13478,8.11448
845,5.05859,8.08557
850,5.09471,8.05774
855,5.2234,8.03225
860,5.12215,8.0058
865,5.07548,7.97917
870,5.0642,7.95286
875,5.11867,7.92777
880,5.16883,7.9038
885,5.04868,7.87863
890,5.25092,7.85653
895,5.25756,7.83489
900,5.13911,7.81213
905,5.26012,7.79124
910,5.05477,7.76813
915,4.98594,7.74451
920,5.28502,7.72497
925,5.1016,7.70356
930,5.09273,7.68238
935,4.96554,7.65996
940,5.11493,7.63974
945,5.12376,7.61994
950,4.99666,7.59894
955,4.95842,7.57781
960,5.00121,7.55753
965,5.09898,7.53869
970,5.23323,7.52161
975,5.11113,7.50346
980,5.07559,7.48519
985,5.07326,7.46717
990,5.23153,7.45108
995,5.11555,7.43403
1000,5.18707,7.41796
