fcount,fps,fps_avg
5,2.0985,2.0985
10,4.81476,2.92296
15,5.27222,3.4328
20,5.13343,3.74275
25,5.17217,3.96171
30,5.22987,4.12854
35,5.05215,4.23923
40,5.12822,4.33311
45,5.32049,4.42432
50,5.14292,4.487
55,5.23504,4.54604
60,5.124,4.58916
65,5.13,4.62667
70,5.04624,4.6543
75,5.31667,4.69327
80,5.21667,4.72287
85,5.21873,4.74941
90,5.07409,4.76634
95,5.09836,4.78272
100,5.21644,4.80268
105,5.21049,4.82064
110,5.15078,4.83472
115,5.10756,4.84596
120,5.09567,4.85587
125,5.2299,4.86979
130,5.38305,4.88771
135,5.02998,4.89283
140,5.11142,4.9003
145,5.22031,4.91067
150,5.1359,4.91785
155,5.04903,4.92197
160,5.09126,4.92709
165,5.26897,4.93679
170,5.25675,4.94563
175,5.1881,4.95224
180,5.18147,4.95833
185,5.06988,4.96127
190,5.21248,4.96757
195,5.21758,4.97367
200,5.27079,4.98069
205,5.0851,4.98318
210,5.22734,4.98872
215,5.10648,4.99139
220,5.14217,4.99472
225,5.23902,4.99989
230,5.13814,5.00282
235,5.18509,5.00656
240,5.18593,5.01016
245,5.17222,5.01336
250,5.19419,5.01685
255,4.98802,5.01628
260,5.23,5.02022
265,5.35355,5.02612
270,5.05968,5.02674
275,5.1126,5.02827
280,5.06532,5.02892
285,5.1665,5.03127
290,5.11535,5.03269
295,5.28336,5.03674
300,5.34517,5.04158
305,5.18413,5.04385
310,5.21888,5.04658
315,5.32951,5.05083
320,5.25454,5.05389
325,5.07437,5.0542
330,5.12136,5.0552
335,5.11437,5.05607
340,5.081,5.05643
345,5.16946,5.05803
350,5.02908,5.05761
355,5.30099,5.06088
360,5.02841,5.06043
365,5.07827,5.06067
370,5.40138,5.06498
375,5.29832,5.06795
380,5.31827,5.07109
385,5.21045,5.07285
390,5.07511,5.07288
395,5.2425,5.07495
400,5.25886,5.07717
405,5.0643,5.07701
410,5.24699,5.07901
415,5.27637,5.0813
420,5.14177,5.08201
425,5.32834,5.08477
430,5.22913,5.0864
435,5.28616,5.08861
440,5.33907,5.09132
445,5.27308,5.09329
450,5.25133,5.09499
455,5.36467,5.09781
460,5.12263,5.09807
465,5.18629,5.099
470,5.30941,5.10115
475,5.16624,5.10183
480,5.23272,5.10315
485,5.19526,5.10408
490,5.09363,5.10397
495,5.06239,5.10355
500,5.17065,5.10421
505,6.96144,5.11773
510,6.9485,5.13098
515,7.14473,5.14506
520,6.90746,5.15771
525,7.19141,5.17163
530,6.92539,5.18402
535,7.0792,5.19702
540,6.84528,5.20863
545,6.82901,5.21999
550,6.87912,5.23146
555,7.09046,5.24385
560,6.88175,5.25501
565,7.19004,5.26756
570,7.03755,5.2792
575,6.90745,5.29004
580,7.04043,5.3014
585,7.02473,5.31254
590,7.20151,5.32438
595,6.82445,5.33423
600,7.10926,5.34535
605,7.12801,5.35642
610,7.18656,5.36762
615,7.10048,5.37829
620,6.82101,5.38748
625,7.21326,5.39841
630,6.71316,5.40681
635,7.04156,5.41671
640,7.03407,5.42646
645,6.99012,5.43588
650,7.19366,5.44612
655,7.12995,5.45595
660,7.19732,5.46597
665,6.92591,5.47465
670,7.21297,5.48451
675,6.93432,5.49301
680,6.9129,5.50132
685,7.00425,5.50995
690,6.87273,5.51788
695,6.91568,5.52591
700,7.01592,5.53431
705,6.96601,5.54238
710,7.29466,5.55177
715,7.13731,5.56041
720,7.00241,5.56837
725,7.22505,5.57719
730,6.95586,5.58477
735,7.25164,5.59352
740,7.10572,5.60157
745,6.94456,5.60885
750,6.90565,5.61588
755,7.06326,5.62351
760,6.98081,5.63071
765,7.06514,5.63819
770,6.92873,5.64502
775,7.07391,5.65238
780,6.92302,5.65904
785,6.83781,5.66526
790,6.82326,5.67135
795,7.0609,5.67838
800,6.97807,5.68499
805,7.02473,5.69173
810,6.97171,5.69819
815,7.03932,5.70486
820,7.02233,5.71139
825,6.9928,5.71774
830,7.0307,5.72418
835,7.1038,5.73084
840,7.01366,5.73708
845,6.96911,5.74309
850,7.07293,5.74945
855,7.02522,5.75556
860,6.97672,5.76142
865,6.8857,5.76686
870,6.80969,5.77194
875,6.97842,5.77765
880,7.12954,5.78388
885,7.13025,5.79006
890,6.85966,5.79513
895,7.05808,5.80093
900,7.21449,5.80725
905,7.23572,5.81359
910,7.22101,5.81982
915,7.13417,5.82568
920,7.04746,5.83118
925,7.10956,5.83685
930,6.98112,5.842
935,7.01062,5.84721
940,6.86157,5.85181
945,7.21453,5.85766
950,7.10769,5.86309
955,6.78912,5.86728
960,7.15644,5.87279
965,7.10878,5.87808
970,6.90409,5.88258
975,7.04691,5.88757
980,7.07099,5.8926
985,7.1437,5.89784
990,7.14441,5.90305
995,7.08681,5.908
1000,7.08031,5.9129
