fcount,fps,fps_avg
5,2.82661,2.82661
10,14.0583,4.70673
15,13.7297,6.02691
20,14.159,7.0373
25,13.9106,7.80892
30,14.0875,8.43544
35,13.9264,8.93887
40,13.7578,9.3481
45,13.7867,9.69485
50,14.2705,10.0159
55,14.259,10.2944
60,14.1954,10.5356
65,14.1934,10.7486
70,13.9876,10.9293
75,13.5049,11.0699
80,14.06,11.219
85,14.3468,11.3647
90,13.9325,11.4822
95,14.1982,11.599
100,13.7851,11.6916
105,14.1208,11.7882
110,14.1734,11.879
115,13.7998,11.9513
120,13.7661,12.0173
125,13.7976,12.0796
130,13.9882,12.1433
135,14.1067,12.2061
140,13.4548,12.2467
145,14.326,12.3083
150,13.7626,12.3517
155,13.8797,12.3957
160,14.0178,12.4407
165,14.3059,12.49
170,14.1455,12.5331
175,13.6525,12.5625
180,14.0837,12.6003
185,13.9207,12.6327
190,14.0622,12.6665
195,14.1411,12.7004
200,14.1286,12.7326
205,14.0182,12.7611
210,13.9667,12.7874
215,13.8327,12.8099
220,14.0616,12.8358
225,14.0954,12.8613
230,13.878,12.8818
235,14.1322,12.9061
240,13.7337,12.9223
245,14.1613,12.9454
250,13.8125,12.9616
255,13.8136,12.9773
260,14.1201,12.9975
265,13.9929,13.015
270,13.7039,13.0271
275,14.1196,13.0454
280,14.2981,13.0658
285,14.2136,13.0844
290,14.145,13.1013
295,14.0849,13.1168
300,14.2243,13.1338
305,13.7263,13.1431
310,13.8774,13.1543
315,13.8831,13.1653
320,13.4488,13.1696
325,14.0877,13.1828
330,14.0376,13.1949
335,14.1776,13.2086
340,14.3024,13.2234
345,13.6776,13.2298
350,13.9215,13.2392
355,14.1688,13.2514
360,14.1163,13.2627
365,14.1564,13.2741
370,14.1247,13.2849
375,13.7943,13.2915
380,13.639,13.2959
385,14.1073,13.3058
390,14.154,13.3161
395,14.0238,13.3245
400,14.2819,13.3357
405,13.7015,13.3401
410,14.0866,13.3487
415,13.8649,13.3547
420,14.1294,13.3634
425,14.221,13.3729
430,14.1634,13.3815
435,14.2612,13.391
440,13.7494,13.395
445,13.956,13.401
450,14.0944,13.4083
455,14.2091,13.4166
460,14.027,13.423
465,13.9936,13.4288
470,13.916,13.4338
475,13.8859,13.4384
480,13.7538,13.4416
485,13.8048,13.4453
490,13.9155,13.4499
495,14.0579,13.4558
500,14.2224,13.463
505,13.96,13.4677
510,13.8015,13.4709
515,14.1394,13.4771
520,13.7095,13.4793
525,14.0267,13.4843
530,14.2111,13.4908
535,13.9107,13.4946
540,14.1945,13.5007
545,14.2309,13.5071
550,13.8109,13.5098
555,14.2313,13.5159
560,14.0698,13.5207
565,14.1339,13.5259
570,13.954,13.5295
575,13.8538,13.5322
580,13.9773,13.5359
585,14.2127,13.5414
590,13.9437,13.5447
595,14.2201,13.5501
600,13.7288,13.5516
605,13.7979,13.5536
610,13.9926,13.5571
615,14.1935,13.562
620,14.0275,13.5656
625,14.255,13.5709
630,13.7286,13.5721
635,13.9443,13.5749
640,13.7841,13.5765
645,14.2987,13.5818
650,14.1727,13.5862
655,14.2316,13.5909
660,13.4704,13.59
665,14.223,13.5945
670,13.8734,13.5965
675,13.7058,13.5973
680,14.1679,13.6013
685,14.2028,13.6055
690,14.0543,13.6087
695,14.0986,13.6121
700,14.1066,13.6155
705,14.0182,13.6182
710,13.7778,13.6193
715,13.9816,13.6218
720,14.0547,13.6247
725,13.8874,13.6265
730,14.0669,13.6294
735,14.0979,13.6325
740,14.0853,13.6354
745,13.9737,13.6376
750,14.1674,13.641
755,14.259,13.6449
760,14.1853,13.6483
765,13.9021,13.65
770,13.9753,13.652
775,14.107,13.6549
780,14.0095,13.6571
785,14.0474,13.6595
790,14.3164,13.6634
795,14.0169,13.6656
800,13.7421,13.6661
805,14.2204,13.6694
810,13.9589,13.6711
815,14.3149,13.6749
820,13.8581,13.676
825,13.8634,13.6771
830,14.0187,13.6791
835,14.1082,13.6816
840,14.2447,13.6848
845,14.3464,13.6885
850,14.2923,13.6919
855,13.8789,13.693
860,14.0335,13.6949
865,13.8888,13.696
870,14.0739,13.6981
875,14.2012,13.7009
880,14.0508,13.7028
885,14.0076,13.7045
890,14.1632,13.707
895,14.139,13.7093
900,14.2472,13.7122
905,14.2411,13.715
910,14.1782,13.7175
915,13.9367,13.7186
920,14.1869,13.7211
925,14.3752,13.7244
930,14.2662,13.7272
935,14.3449,13.7304
940,14.1187,13.7324
945,13.8511,13.733
950,14.2583,13.7357
955,14.1571,13.7378
960,13.9729,13.739
965,13.7785,13.7392
970,14.1283,13.7412
975,14.0802,13.7428
980,13.8969,13.7436
985,14.0673,13.7452
990,14.0749,13.7468
995,14.2317,13.7492
1000,14.0814,13.7508
